airport,iata,country,destination_countries
Charles de Gaulle International Airport,CDG,France,104
Frankfurt am Main Airport,FRA,Germany,92
Atatürk International Airport,ISL,Turkey,90
Dubai International Airport,DXB,United Arab Emirates,85
Amsterdam Airport Schiphol,AMS,Netherlands,79
London Heathrow Airport,LHR,United Kingdom,76
John F Kennedy International Airport,JFK,United States,70
Leonardo da Vinci–Fiumicino Airport,FCO,Italy,69
London Gatwick Airport,LGW,United Kingdom,62
Hamad International Airport,DOH,Qatar,62
